지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,CJ 성민제2주유소,부산 강서구 봉림길94번길 89(봉림동),S-OIL,051-974-0911,Y,-,1569,1429,-
부산광역시,(주)천일에너지 천일주유소,부산 강서구 낙동북로 65 (강동동),GS칼텍스,051-973-5999,Y,1898,1569,1417,-
부산광역시,은마석유(주)직영 강서주유소,부산 강서구 공항로 483,HD현대오일뱅크,051-973-5104,Y,-,1569,1429,-
부산광역시,(주)경인에너지,부산 강서구 생곡로 40 (녹산동),S-OIL,051-971-5013,N,-,1569,1429,-
부산광역시,CJ대한통운㈜ 성민주유소,부산 강서구 가락대로 389 (송정동),S-OIL,051-832-1611,N,-,1569,1429,-
부산광역시,은마석유(주)신호주유소,부산 강서구  낙동남로 514,HD현대오일뱅크,051-971-6331,Y,-,1569,1429,1300
부산광역시,명지농협주유소,부산 강서구 르노삼성대로 572 (명지동),NH-OIL,051-294-8528,Y,1789,1569,1389,-
부산광역시,(주)우양네트웍스 송산주유소,부산 강서구 호계로 200 (죽동동),S-OIL,051-973-7583,Y,-,1575,1448,-
부산광역시,맥도주유소,부산 강서구 공항로 381 (대저2동),GS칼텍스,051-973-5735,Y,-,1579,1439,-
부산광역시,대양석유(주)한마음주유소,부산 강서구 르노삼성대로 604 (명지동),SK에너지,051-271-2452,Y,-,1579,1439,-
부산광역시,(주)범방주유소,부산 강서구 가락대로 963,SK에너지,051-971-3337,Y,-,1579,1439,-
부산광역시,제일주유소,부산 강서구 가락대로 1417,GS칼텍스,051-971-2727,N,-,1588,1458,1250
부산광역시,오봉주유소,부산 강서구 호계로 1 (죽림동),SK에너지,051-972-5177,N,-,1588,1449,1250
부산광역시,내트럭(주) 부산신항남컨사업소,부산 강서구 신항남로 507,SK에너지,070-4454-9235,N,-,1589,1499,-
부산광역시,부산축산업협동조합 농협주유소,부산광역시 강서구  낙동남로 448 (녹산동),NH-OIL,051-973-8141,N,-,1589,1446,-
부산광역시,㈜도감에너지,부산 강서구 낙동남로 501 (녹산동),S-OIL,051-973-7622,Y,-,1589,1439,-
부산광역시,평강주유소,부산 강서구 평강로 309 (대저1동),SK에너지,051-971-4411,Y,-,1596,1446,1300
부산광역시,금룡주유소,부산 강서구 가락대로 1361 (봉림동),S-OIL,051-972-6081,N,-,1598,1468,1250
부산광역시,이왕주유소,부산 강서구 공항로 1423 (대저1동),HD현대오일뱅크,051-972-9007,Y,-,1598,1468,1300
부산광역시,녹산주유소,부산 강서구 낙동남로 700,S-OIL,051-832-7560,Y,-,1599,1429,-
부산광역시,(주)우양네트웍스 구도일주유소 삼광,부산 강서구 공항로 799 (대저2동),S-OIL,051-941-5188,Y,-,1599,1459,1400
부산광역시,김해공항주유소,부산 강서구 공항진입로 25 (대저2동),GS칼텍스,051-973-8291,Y,1888,1599,1459,1249
부산광역시,신항만주유소,부산 강서구 가락대로1243번길 68,HD현대오일뱅크,051-973-0935,Y,-,1599,1435,-
부산광역시,유성주유소,부산 강서구 생곡로 337 (생곡동),S-OIL,051-973-8852,Y,-,1628,1468,1300
부산광역시,녹산화물터미널주유소,부산 강서구 녹산산업북로 119 (송정동),GS칼텍스,051-941-3015,N,-,1628,1498,-
부산광역시,우리들주유소,부산 강서구 낙동남로 667 (녹산동),GS칼텍스,051-941-5145,Y,-,1628,1465,-
부산광역시,(주)시큐 대저고속주유소,부산 강서구 체육공원로 66 (대저1동),GS칼텍스,051-941-5151,N,-,1658,1429,1300
부산광역시,명품주유소,부산 강서구 대저로 283 (대저1동),HD현대오일뱅크,051-941-0052,N,-,1658,1508,1350
부산광역시,(주)소모 과학셀프주유소,부산 강서구 과학산단로 297 (지사동),GS칼텍스,051-973-5153,Y,-,1659,1499,1450
부산광역시,서부산주유소(순천방향),부산광역시 강서구 남해2지선고속도로 19,SK에너지,051-941-5155,Y,-,1668,1528,-
부산광역시,(주)서호주유소,부산 강서구 명지국제2로28번길 36,S-OIL,051-206-6661,Y,1998,1678,1518,-
부산광역시,명지주유소,부산 강서구 낙동남로 1042,SK에너지,051-271-2828,N,-,1678,1558,1500
부산광역시,만선주유소,부산 강서구 가락대로210번길 102,HD현대오일뱅크,051-831-9171,N,-,1698,1558,-
부산광역시,비케이원(주) 미래드림주유소,부산 강서구 가락대로 649,HD현대오일뱅크,051-974-0808,Y,-,1709,1559,-
부산광역시,대양산업(주)대양가덕주유소,부산 강서구 거가대로 2571,GS칼텍스,051-715-2201,Y,-,1788,1638,1400
부산광역시,광신석유(주)직영 명지주유소,부산 강서구 르노삼성대로 372,SK에너지,051-271-4405,Y,1959,1899,1897,1799
부산광역시,한길주유소 금사점 한솔유화㈜,부산 금정구 반송로 420 (금사동),HD현대오일뱅크,051-524-6642,Y,1897,1549,1419,-
부산광역시,은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),GS칼텍스,051-508-1645,Y,1849,1575,1437,1350
부산광역시,훼미리알뜰주유소,부산 금정구 두실로 2,알뜰주유소,051-582-5882,Y,-,1575,1437,-
부산광역시,청룡명품주유소,부산 금정구 중앙대로 2130,HD현대오일뱅크,051-508-5150,Y,-,1575,1437,-
부산광역시,금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),알뜰주유소,051-583-6433,Y,-,1587,1457,-
부산광역시,금강주유소,부산 금정구 중앙대로 1972,SK에너지,051-581-8551,N,-,1589,1455,-
부산광역시,한길주유소 부산점 한솔유화㈜,부산 금정구 중앙대로 1646,HD현대오일뱅크,051-581-0875,Y,-,1597,1467,-
부산광역시,신화주유소,부산 금정구 금강로 721,HD현대오일뱅크,051-515-1997,Y,-,1618,1488,1450
부산광역시,동진주유소,"부산 금정구 금정로 216,  (구서동)",SK에너지,051-515-5007,Y,1849,1619,1479,-
부산광역시,에이원주유소,부산 금정구 반송로 364 (서동),SK에너지,051-532-5157,Y,-,1625,1395,-
부산광역시,비케이원㈜ 대박드림주유소,부산 금정구 중앙대로 1597,HD현대오일뱅크,051-518-6777,Y,1849,1629,1499,-
부산광역시,금정산주유소,부산 금정구 금샘로 399 (구서동),SK에너지,051-517-5472,N,1897,1637,1497,1400
부산광역시,식물원주유소,부산 금정구 금샘로 21 (장전동),S-OIL,051-515-5189,N,-,1685,1565,1450
부산광역시,동양주유소,부산 금정구  반송로 391 (서동),HD현대오일뱅크,051-523-1214,Y,-,1687,1567,1500
부산광역시,새석대주유소,부산 금정구 반송로 463 (금사동),S-OIL,051-527-5142,N,1857,1697,1577,-
부산광역시,남산주유소,부산 금정구 중앙대로 2044 (남산동),S-OIL,051-517-5149,Y,1958,1698,1568,-
부산광역시,지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),GS칼텍스,051-512-3301,Y,1929,1709,1579,1400
부산광역시,기장대로 셀프주유소 와이케이에너지㈜,부산 기장군 기장읍 기장대로 343,GS칼텍스,051-723-5189,Y,1839,1519,1374,-
부산광역시,신아시아드주유소/충전소 은마석유㈜,부산광역시 기장군 일광면 기장대로 996,GS칼텍스,051-722-8701,Y,1839,1519,1374,-
부산광역시,내리주유소,부산 기장군 기장읍 기장대로 84,HD현대오일뱅크,051-722-7363,Y,-,1529,1395,1350
부산광역시,월드컵주유소,부산 기장군 일광면 기장대로 1230,알뜰주유소,051-727-1212,Y,-,1539,1394,-
부산광역시,세방주유소,부산 기장군 일광면 기장대로 1195,HD현대오일뱅크,051-727-0016,Y,-,1549,1415,1350
부산광역시,하영주유소,부산 기장군 기장읍 반송로 1517,GS칼텍스,051-722-3370,Y,-,1565,1435,-
부산광역시,부경셀프주유소,부산 기장군 기장읍 반송로 1407,SK에너지,051-721-5181,Y,-,1565,1415,-
부산광역시,기장IC주유소,부산 기장군 일광면 기장대로 670,SK에너지,051-724-4841,Y,-,1565,1435,-
부산광역시,용문주유소,부산 기장군 일광면 기장대로 710,HD현대오일뱅크,051-722-5594,Y,-,1565,1435,-
부산광역시,삼성셀프주유소,부산 기장군 일광면 기장대로 677,S-OIL,051-722-5160,Y,1965,1565,1435,-
부산광역시,선암주유소,부산 기장군 장안읍 기장대로 1453,알뜰주유소,051-727-1212,Y,-,1565,1455,1340
부산광역시,공단신도시주유소,부산 기장군 정관면 정관로 835,HD현대오일뱅크,051-728-4686,Y,-,1565,1465,1350
부산광역시,(주)동광주유소,부산 기장군 기장읍 차성로 241,HD현대오일뱅크,051-722-4451,Y,-,1565,1414,1350
부산광역시,국제주유소,부산 기장군 일광면 기장대로 1291,S-OIL,051-727-8875,Y,-,1569,1449,-
부산광역시,삼거리주유소,부산 기장군 기장읍 반송로 1653,HD현대오일뱅크,051-721-8411,N,-,1569,1439,1350
부산광역시,대영주유소,부산 기장군 정관면 정관로 249,GS칼텍스,070-4647-4109,Y,-,1578,1454,-
부산광역시,달음산주유소,부산 기장군 장안읍 정관로 1115,GS칼텍스,051-727-5177,Y,-,1580,1465,-
부산광역시,㈜첼시주유소,부산 기장군 장안읍 정관로 1148,HD현대오일뱅크,051-727-7473,Y,2078,1580,1465,-
부산광역시,기분조은주유소,부산 기장군 정관면 정관로 787,SK에너지,051-728-5166,Y,-,1580,1465,1400
부산광역시,백운1주유소,부산 기장군 정관면 정관로 779,GS칼텍스,051-728-4433,Y,-,1580,1478,-
부산광역시,(주)천일에너지 천일주유소,부산 기장군 신정관로 183,HD현대오일뱅크,051-728-7866,Y,-,1580,1465,-
부산광역시,정관신도시주유소/충전소,부산 기장군 정관면 정관로 901,SK에너지,051-727-6228,Y,-,1580,1465,1350
부산광역시,의학원self주유소,부산 기장군 장안읍 좌동길 47,SK에너지,051-728-1212,Y,-,1580,1465,-
부산광역시,동부산농협클린주유소,부산 기장군 일광면 기장대로 1037,NH-OIL,051-724-5181,Y,-,1584,1434,1350
부산광역시,뉴장안IC주유소,부산 기장군 장안읍 좌동길 45,S-OIL,051-728-3838,Y,-,1585,1465,1450
부산광역시,오성주유소,부산 기장군 일광면 일광로 722,HD현대오일뱅크,051-728-8851,N,-,1593,1453,1350
부산광역시,(주)동남주유소,부산 기장군 철마면 반송로 983,GS칼텍스,051-722-9900,Y,-,1598,1478,1400
부산광역시,안평주유소,부산 기장군 철마면 반송로 1300,S-OIL,051-722-7979,N,-,1598,1478,1400
부산광역시,장안IC(상)주유소,부산 기장군 장안읍 기장대로 1586,SK에너지,051-728-6161,Y,-,1598,1488,-
부산광역시,태양주유소,부산 기장군 기장읍 대변로 13,GS칼텍스,051-724-5189,Y,1957,1617,1497,1400
부산광역시,(주)푸른숲self주유소,부산 기장군 장안읍 기장대로 1751,SK에너지,051-727-8213,Y,2098,1618,1478,-
부산광역시,창암주유소,부산 기장군 정관면 신정관로 188,S-OIL,051-727-3332,Y,-,1625,1445,-
부산광역시,(주)더힘찬주유소,부산 기장군 장안읍 기장대로 1673,GS칼텍스,051-728-8686,Y,-,1627,1487,1350
부산광역시,장안IC(하)주유소,부산 기장군 장안읍 기장대로 1615,SK에너지,051-728-5189,N,-,1628,1488,-
부산광역시,명례주유소,부산 기장군 장안읍 기장대로 2217,HD현대오일뱅크,051-727-5120,N,-,1628,1478,1350
부산광역시,솔밭주유소,부산 기장군 장안읍 하근3길 8,SK에너지,051-727-7277,Y,-,1635,1495,1350
부산광역시,KH에너지㈜직영 장안주유소(부산방향),부산 기장군 장안읍 동해고속도로 25,SK에너지,051-727-7300,Y,-,1638,1508,-
부산광역시,KH에너지㈜직영 장안주유소(울산방향),부산 기장군 장안읍 동해고속도로 26,SK에너지,051-728-5157,Y,-,1638,1508,-
부산광역시,공단주유소,부산 기장군 정관면 정관로 833,HD현대오일뱅크,051-727-1334,N,-,1648,1528,1350
부산광역시,동양주유소/기장충전소,부산 기장군 기장읍 기장대로 530,HD현대오일뱅크,051-723-0202,Y,1910,1659,1499,-
부산광역시,월드주유소,부산 기장군 기장읍 반송로 1559,자가상표,051-723-3461,Y,-,1664,1524,-
부산광역시,(주)SK정관주유소,부산 기장군 정관면 정관덕산길 21,SK에너지,051-728-5083,Y,-,1799,1599,1600
부산광역시,기장수협주유소,부산 기장군 기장읍 기장해안로 426,SK에너지,051-721-1813,N,-,1799,1649,-
부산광역시,창암2주유소,부산 기장군 정관면 신정관로 188,자가상표,051-727-3332,N,-,-,1445,-
부산광역시,사랑드림주유소,부산 남구 황령대로 343,S-OIL,051-612-0529,Y,1813,1563,1433,-
부산광역시,대일주유소,부산 남구 황령대로 401-2 (대연동),GS칼텍스,051-627-0727,Y,1813,1563,1433,-
부산광역시,내트럭(주)부산사업소,부산 남구 신선로 168,SK에너지,051-638-3971,N,-,1563,1499,-
부산광역시,내트럭(주)부산용당,부산 남구 신선로 261,SK에너지,051-931-8001,N,-,1563,1499,-
부산광역시,(주)경인석유,부산 남구 신선로 448,SK에너지,051-626-2426,Y,-,1568,1439,-
부산광역시,우암주유소,부산 남구 우암로 204,GS칼텍스,051-644-0142,Y,-,1573,1443,-
부산광역시,은마석유주식회사,부산 남구 신선로 351 (용당동),GS칼텍스,051-628-4323,Y,1823,1573,1443,-
부산광역시,우암로셀프주유소,부산 남구 우암로 232,HD현대오일뱅크,051-643-5363,Y,-,1573,1443,-
부산광역시,북항대교주유소,부산 남구  신선로 316 (용당동),S-OIL,051-628-5152,Y,-,1573,1443,1600
부산광역시,금강석유(주) 영웅주유소,부산 남구 황령대로 346 (대연동),HD현대오일뱅크,051-627-0180,Y,-,1573,1443,-
부산광역시,은마석유㈜ 용당CY주유소,부산 남구 신선로 392,GS칼텍스,051-622-5121,Y,1823,1573,1443,-
부산광역시,(주)세일 부산항주유소,부산 남구 신선로 387 (용당동),S-OIL,051-623-5189,Y,1823,1573,1443,-
부산광역시,(주)문화주유소,부산 남구 유엔로 155,GS칼텍스,051-621-2416,Y,1829,1579,1449,1500
부산광역시,매일주유소,부산 남구 수영로 22 (문현동),알뜰주유소,051-646-5182,Y,-,1588,1458,1350
부산광역시,성지셀프주유소,부산 남구 유엔로 42,SK에너지,051-636-0051,Y,-,1594,1457,1400
부산광역시,분포셀프주유소,부산 남구 용호로 116,SK에너지,051-627-5151,Y,-,1595,1465,1500
부산광역시,반도주유소,부산 남구 신선로 442 (용당동),S-OIL,051-626-6828,Y,-,1597,1457,-
부산광역시,문현주유소,부산 남구 우암로 374 (문현동),HD현대오일뱅크,051-635-5103,Y,-,1598,1488,1500
부산광역시,지에스칼텍스㈜ 유엔주유소,부산 남구 유엔로 202,GS칼텍스,051-625-1140,Y,-,1599,1469,-
부산광역시,지에스칼텍스㈜ 비치주유소,부산 남구 용호로 60 (용호동),GS칼텍스,051-625-5151,Y,1819,1599,1469,1500
부산광역시,한길주유소 용당점 한솔유화㈜,부산 남구 신선로 252,HD현대오일뱅크,051-621-5154,N,-,1609,1459,-
부산광역시,삼화주유소,부산 남구 우암로 92 (감만동),알뜰주유소,051-646-1620,N,-,1615,1475,1400
부산광역시,구도일주유소용호,부산 남구 용호로 172 (용호동),S-OIL,051-611-5191,Y,-,1619,1489,1450
부산광역시,금융단지주유소,부산 남구 황령대로98번길 75 (문현동),HD현대오일뱅크,051-633-5117,N,1878,1628,1498,-
부산광역시,동명주유소,부산 남구 남구 전포대로 7,S-OIL,051-646-4390,N,-,1628,1498,1400
부산광역시,대성주유소,부산광역시 남구 문현로 67 (문현동),HD현대오일뱅크,051-634-0668,N,-,1719,1599,1600
부산광역시,인터지스(주)인터지스주유소,부산 남구 신선로 173 (감만동),HD현대오일뱅크,051-611-7611,N,-,1739,1599,-
부산광역시,굿오일주유소,부산 남구 북항로 108,S-OIL,051-637-5157,N,-,-,1465,-
부산광역시,부산벙커앤오일 청구주유소,부산 동구 충장대로 281 (좌천동),SK에너지,051-635-9698,Y,-,1580,1445,1500
부산광역시,CJ대한통운㈜ 부산주유소,부산 동구 충장대로 305 (좌천동),GS칼텍스,051-719-5143,Y,1825,1580,1445,-
부산광역시,(주)대양씨앤씨직영주유소,부산 동구 성남로 74 (범일동),GS칼텍스,051-646-5563,Y,-,1583,1445,-
부산광역시,동방석유(주)초량주유소,부산 동구  중앙대로 302 (초량동),SK에너지,051-469-5181,Y,-,1585,1455,-
부산광역시,구도일주유소 부산진,부산 동구 중앙대로 414 (좌천동),S-OIL,051-644-6200,Y,1825,1585,1455,-
부산광역시,대양대박주유소,부산 동구 성남로 42 (좌천동),GS칼텍스,051-634-5252,N,-,1603,1475,1500
부산광역시,동방석유(주)형제주유소,부산광역시 동구  자성로 127 (범일2동),SK에너지,051-646-5471,Y,-,1618,1498,-
부산광역시,㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),S-OIL,051-466-1001,N,-,1998,1698,-
부산광역시,광신석유(주)직영 충렬대로주유소,부산 동래구 충렬대로 95,SK에너지,051-555-3258,Y,1919,1489,1349,-
부산광역시,명장주유소,부산 동래구 반송로 303 (명장동),알뜰주유소,051-522-3355,Y,-,1499,1349,1340
부산광역시,동방석유(주)푸른주유소,부산 동래구 충렬대로 121 (온천동),SK에너지,051-555-3827,Y,-,1499,1344,-
부산광역시,㈜OS에너지 동호주유소,부산 동래구 반송로 245,GS칼텍스,051-526-9967,Y,-,1499,1349,1400
부산광역시,대일주유소,부산 동래구 충렬대로 124,알뜰주유소,051-502-1155,Y,-,1499,1349,-
부산광역시,(주)삼보명진주유소,부산 동래구 충렬대로 51 (온천동),GS칼텍스,051-553-3000,Y,-,1549,1399,-
부산광역시,한창주유소,부산 동래구 우장춘로 56,HD현대오일뱅크,051-583-5151,Y,-,1569,1439,1500
부산광역시,한길주유소 교대점 한솔유화㈜,부산 동래구 여고로 131 (사직동),HD현대오일뱅크,051-504-0636,Y,-,1588,1454,-
부산광역시,(주)대원에너지 대원주유소,부산 동래구 충렬대로 460  (안락동),S-OIL,051-852-6492,Y,-,1593,1433,1500
부산광역시,대경주유소,부산 동래구 반송로 185 (안락동),HD현대오일뱅크,051-555-1177,N,-,1597,1457,-
부산광역시,온천주유소,부산 동래구 명륜로 2,GS칼텍스,051-558-2250,Y,-,1598,1468,1400
부산광역시,안락교차로주유소,부산 동래구 충렬대로 330 (안락동),GS칼텍스,051-552-6262,N,-,1638,1498,1400
부산광역시,보강주유소,부산 동래구  충렬대로 400 (안락동),HD현대오일뱅크,051-531-2535,Y,-,1638,1488,1450
부산광역시,한양주유소,부산 동래구  충렬대로 300 (낙민동),SK에너지,051-554-3363,N,-,1646,1496,1450
부산광역시,충렬주유소,부산 동래구 충렬대로 463,S-OIL,051-522-0569,Y,1959,1668,1518,-
부산광역시,대원주유소,부산 동래구 미남로 38,S-OIL,051-502-0733,Y,-,1668,1518,1500
부산광역시,(주)태화주유소,부산 부산진구 가야대로 402,SK에너지,051-896-6147,Y,-,1559,1419,-
부산광역시,대양주유소,부산 부산진구 새싹로 61-1 (부암동),알뜰주유소,051-818-6161,Y,-,1563,1423,-
부산광역시,진성주유소,부산 부산진구 백양대로 242,S-OIL,051-896-4500,Y,-,1569,1429,-
부산광역시,(주)주공에너지,부산 부산진구 백양대로 231,알뜰주유소,051-898-0809,Y,-,1569,1429,-
부산광역시,동방석유(주)황령산주유소,부산 부산진구 황령대로 66 (전포동),SK에너지,051-803-5151,Y,-,1573,1443,-
부산광역시,스마일주유소,부산 부산진구 동평로 49,알뜰주유소,051-939-2022,Y,1858,1578,1438,-
부산광역시,가야주유소,부산 부산진구 가야대로552번길 39,SK에너지,051-896-6300,Y,1949,1579,1439,-
부산광역시,남부산고속주유소,부산 부산진구 거제대로 84 (양정동),S-OIL,051-867-2231,Y,1843,1579,1434,-
부산광역시,영우에너지 부전주유소,부산 부산진구 신천대로 132,S-OIL,051-802-5593,Y,-,1583,1463,-
부산광역시,지에스칼텍스㈜케이제이주유소,부산광역시 부산진구  전포대로 178 (전포제3동),GS칼텍스,051-817-7832,Y,1819,1589,1549,1500
부산광역시,동방석유(주)sk전포주유소,부산 부산진구 동천로 10 (전포동),SK에너지,051-804-5152,Y,-,1598,1498,-
부산광역시,(주)우양네트웍스 하마정주유소,부산 부산진구 동평로 398,S-OIL,051-861-5104,Y,-,1599,1459,-
부산광역시,SK에너지(주) 연지오토self,부산 부산진구 동평로 239 (연지동),SK에너지,051-805-9285,Y,1859,1624,1494,1500
부산광역시,광신석유(주)직영 양정주유소,부산 부산진구 동평로 361 (양정동),SK에너지,051-862-7063,Y,-,1624,1494,-
부산광역시,백양주유소,부산 부산진구  백양대로 234 (개금동),SK에너지,051-894-6622,N,-,1659,1498,1400
부산광역시,명품주유소 당감점,부산 부산진구 백양대로 78 (당감동),HD현대오일뱅크,051-891-1881,Y,1919,1689,1559,-
부산광역시,럭키주유소,부산 부산진구 새싹로 230,SK에너지,051-808-5113,Y,-,1698,1598,-
부산광역시,한일주유소,부산 부산진구 백양순환로110번길 19 (부암동),SK에너지,051-809-1542,Y,-,1699,1599,1500
부산광역시,지에스칼텍스㈜ 성지주유소,부산 부산진구 동평로 289 (연지동),GS칼텍스,051-806-0466,Y,1955,1699,1569,1500
부산광역시,대흥주유소,부산 부산진구 동평로 21,S-OIL,051-898-5151,Y,1948,1728,1598,-
부산광역시,대명주유소,부산 부산진구 가야대로 523 (가야동),S-OIL,051-896-5105,Y,-,1838,1718,1650
부산광역시,(주)삼보부림SELF주유소,부산 북구 만덕대로 343 (만덕동),GS칼텍스,051-338-5156,Y,-,1549,1399,-
부산광역시,삼보주유소/충전소,부산 북구 만덕대로 331 (만덕동),GS칼텍스,051-336-2002,Y,1919,1549,1399,1500
부산광역시,광신석유(주)직영 백양대로주유소,부산 북구 백양대로 995 (구포동),SK에너지,051-337-3100,Y,-,1559,1419,-
부산광역시,경덕주유소,부산 북구 시랑로 58 (구포동),알뜰주유소,051-343-2121,Y,-,1565,1439,1450
부산광역시,금곡대로주유소,부산 북구 금곡대로 712 (금곡동),GS칼텍스,051-365-4830,Y,1849,1569,1399,-
부산광역시,(주)세일 금곡주유소,부산 북구 금곡대로 604 (금곡동),S-OIL,051-334-7771,Y,1858,1579,1419,-
부산광역시,화명신도시주유소,부산 북구 금곡대로 203,알뜰주유소,051-365-0711,N,-,1579,1439,-
부산광역시,북부산셀프주유소,부산 북구 금곡대로 37,HD현대오일뱅크,051-341-0151,Y,-,1579,1439,-
부산광역시,지에스칼텍스(주)구포셀프주유소,부산 북구 사상로 619 (구포동),GS칼텍스,051-338-5189,Y,1784,1589,1464,-
부산광역시,만복드림주유소,부산 북구 만덕대로 170,S-OIL,051-343-5155,Y,-,1599,1499,-
부산광역시,성도주유소,부산 북구 낙동대로 1642,S-OIL,051-333-3351,Y,1898,1616,1488,-
부산광역시,SK에너지(주)두꺼비,부산 북구 금곡대로 362,SK에너지,051-362-5555,Y,1889,1649,1519,-
부산광역시,SK에너지㈜직영 삼진셀프주유소,부산 북구 의성로53번길 5,SK에너지,051-342-3516,Y,-,1649,1519,-
부산광역시,무지개주유소,부산 북구 금곡대로 692,HD현대오일뱅크,051-335-4330,N,-,1669,1419,1650
부산광역시,동양가스산업(주)명품주유소,부산 북구 금곡대로 113 (덕천동),HD현대오일뱅크,051-343-3003,Y,1898,1689,1559,-
부산광역시,SK에너지(주)신광셀프주유소,부산 북구 덕천로 275 (만덕동),SK에너지,051-336-9911,Y,-,1769,1599,-
부산광역시,(주)가온에너지 더힘대로주유소,부산 사상구 낙동대로 1274 (삼락동),HD현대오일뱅크,051-305-9558,Y,-,1548,1398,-
부산광역시,스마트주유소,부산 사상구 가야대로 377,HD현대오일뱅크,051-314-5151,Y,-,1559,1419,-
부산광역시,우리주유소 (주)시블링스,부산 사상구 백양대로 701 (덕포동),알뜰주유소,051-304-3654,Y,-,1559,1419,-
부산광역시,에스알디㈜더리치주유소,부산 사상구 낙동대로 753 (엄궁동),HD현대오일뱅크,051-311-5025,Y,1949,1559,1419,-
부산광역시,용마주유소,부산 사상구 가야대로 329,알뜰주유소,051-311-3653,Y,-,1559,1419,-
부산광역시,광신석유(주)직영 가야대로주유소,부산 사상구 가야대로 395,SK에너지,070-4788-8153,Y,1919,1559,1419,-
부산광역시,(주)좋은기름나라새사상셀프주유소지점,부산 사상구 새벽로 154,S-OIL,051-328-2270,Y,1989,1564,1424,1600
부산광역시,부영석유(주)도매주유소,부산 사상구 가야대로 10 (감전동),GS칼텍스,051-315-1117,Y,-,1564,1424,-
부산광역시,엄궁주유소,부산 사상구 낙동대로 681,SK에너지,051-316-4202,Y,-,1564,1424,-
부산광역시,에스씨(주) 새문주유소,부산 사상구 학감대로 30 (학장동),GS칼텍스,051-324-3502,Y,-,1564,1424,-
부산광역시,세원주유소,부산 사상구 학감대로 178,알뜰주유소,051-328-5311,Y,-,1564,1424,1390
부산광역시,(주)젤코바,부산 사상구 가야대로 63,HD현대오일뱅크,051-323-6621,Y,1769,1564,1424,-
부산광역시,(주)호림에너지 호림주유소,부산 사상구 낙동대로 669 (엄궁동),HD현대오일뱅크,051-317-5187,N,-,1564,1424,1400
부산광역시,성림주유소,부산 사상구 백양대로 480,HD현대오일뱅크,051-545-5151,Y,-,1564,1424,-
부산광역시,㈜덕양에너지직영 굿모닝주유소,부산 사상구 학감대로 70,SK에너지,051-323-2123,Y,-,1564,1424,-
부산광역시,서부산IC주유소,부산 사상구 학감대로 170,SK에너지,051-328-5189,Y,1919,1564,1424,1450
부산광역시,원주유소,부산 사상구 백양대로 349 (주례동),HD현대오일뱅크,051-323-0224,Y,-,1564,1424,-
부산광역시,가락타운주유소,부산 사상구 낙동대로 730 (엄궁동),SK에너지,051-325-1200,Y,-,1564,1424,-
부산광역시,(주)덕양에너지 직영 구덕산주유소,부산 사상구 학감대로 98 (학장동),SK에너지,051-323-9890,Y,-,1564,1424,-
부산광역시,(주)지엠지 우경주유소,부산 사상구 백양대로 477 (주례동),S-OIL,051-312-0951,Y,1784,1564,1434,-
